Date,Open,High,Low,Close,Adj Close,Volume
2006-12-07,3.215357,3.232143,3.103571,3.108571,2.673069,1004827600
2006-12-08,3.115357,3.192500,3.107143,3.152143,2.710537,784277200
2006-12-11,3.175000,3.189286,3.144643,3.169643,2.725585,499780400
2006-12-12,3.164643,3.172857,3.054643,3.076429,2.645429,1026620000
2006-12-13,3.141071,3.181071,3.112500,3.180357,2.734797,857052000
2006-12-14,3.180357,3.214286,3.152143,3.162500,2.719442,832330800
2006-12-15,3.179286,3.186429,3.118929,3.132857,2.693953,739939200
2006-12-18,3.129643,3.142857,3.021071,3.052500,2.624853,721576800
2006-12-19,3.026071,3.095714,2.986429,3.082500,2.650651,911405600
2006-12-20,3.088214,3.095357,3.026429,3.027143,2.603049,567691600
2006-12-21,3.025000,3.052857,2.935714,2.960714,2.545927,903599200
2006-12-22,2.980714,3.001429,2.914286,2.935714,2.524428,613303600
2006-12-26,2.933929,2.948929,2.888929,2.911071,2.503238,490688800
2006-12-27,2.791071,2.928571,2.741786,2.911429,2.503546,1935754800
2006-12-28,2.865000,2.901786,2.844643,2.888214,2.483584,1119876800
2006-12-29,2.998214,3.050000,2.977143,3.030000,2.605506,1076429200
2007-01-03,3.081786,3.092143,2.925000,2.992857,2.573566,1238319600
2007-01-04,3.001786,3.069643,2.993571,3.059286,2.630688,847260400
2007-01-05,3.063214,3.078571,3.014286,3.037500,2.611954,834741600
2007-01-08,3.070000,3.090357,3.045714,3.052500,2.624853,797106800
2007-01-09,3.087500,3.320714,3.041071,3.306071,2.842900,3349298400
2007-01-10,3.383929,3.492857,3.337500,3.464286,2.978950,2952880000
2007-01-11,3.426429,3.456429,3.396429,3.421429,2.942096,1440252800
2007-01-12,3.378214,3.395000,3.329643,3.379286,2.905858,1312690400
2007-01-16,3.417143,3.473214,3.408929,3.467857,2.982020,1244076400
2007-01-17,3.484286,3.485714,3.386429,3.391071,2.915991,1646260000
2007-01-18,3.289286,3.289643,3.180357,3.181071,2.735412,2364605600
2007-01-19,3.165357,3.201786,3.147143,3.160714,2.717907,1364473600
2007-01-22,3.183571,3.184286,3.058929,3.099643,2.665392,1454026000
2007-01-23,3.061786,3.125357,3.053929,3.060714,2.631917,1207424400
2007-01-24,3.095714,3.112500,3.074286,3.096429,2.662628,927813600
2007-01-25,3.111071,3.160714,3.072500,3.080357,2.648808,905973600
2007-01-26,3.111071,3.120357,3.035357,3.049286,2.622090,986874000
2007-01-29,3.082143,3.094643,3.054643,3.069286,2.639288,901664400
2007-01-30,3.086786,3.088929,3.044643,3.055357,2.627311,577970400
2007-01-31,3.030714,3.071429,3.012500,3.061786,2.632838,856069200
2007-02-01,3.079643,3.081071,3.026429,3.026429,2.602435,664342000
2007-02-02,3.004286,3.044643,2.989286,3.026786,2.602742,621530000
2007-02-05,3.010714,3.043929,2.997857,2.997857,2.577866,578852400
2007-02-06,3.016071,3.016786,2.959286,3.005357,2.584315,864393600
2007-02-07,3.017143,3.085000,2.983929,3.076786,2.645738,1066825200
2007-02-08,3.051071,3.089643,3.050357,3.077857,2.646658,679030800
2007-02-09,3.067143,3.078571,2.971786,2.973929,2.557290,860540800
2007-02-12,3.015357,3.042143,2.986786,3.031429,2.606735,724071600
2007-02-13,3.041429,3.046071,3.010714,3.025000,2.601206,580986000
2007-02-14,3.022500,3.058571,3.020357,3.046429,2.619633,507981600
2007-02-15,3.051429,3.057857,3.027857,3.043214,2.616868,363661200
2007-02-16,3.044643,3.050357,3.023571,3.029643,2.605198,399868000
2007-02-20,3.023214,3.077143,3.005714,3.067857,2.638059,617702400
2007-02-21,3.070714,3.196071,3.070000,3.185714,2.739405,1155313600
2007-02-22,3.242857,3.243214,3.161786,3.196786,2.748926,838224800
2007-02-23,3.184286,3.226429,3.173214,3.181071,2.735412,517893600
2007-02-26,3.208571,3.214286,3.128929,3.161071,2.718214,615848800
2007-02-27,3.082143,3.110000,2.978929,2.997500,2.577558,1145813200
2007-02-28,2.964286,3.057143,2.964286,3.021786,2.598442,919475200
2007-03-01,3.001071,3.153929,2.991071,3.109286,2.673683,1415528800
2007-03-02,3.098929,3.126429,3.043214,3.050357,2.623010,860000400
2007-03-05,3.067500,3.166071,3.062857,3.082857,2.650958,838899600
2007-03-06,3.135714,3.153929,3.121429,3.149643,2.708386,723186800
2007-03-07,3.144643,3.177500,3.123214,3.132857,2.693953,626284400
2007-03-08,3.163929,3.168571,3.123571,3.142857,2.702552,511011200
2007-03-09,3.171429,3.173214,3.121429,3.141786,2.701631,451836000
2007-03-12,3.145357,3.213929,3.142500,3.209643,2.759981,729408400
2007-03-13,3.193214,3.235714,3.157143,3.157143,2.714836,867890800
2007-03-14,3.164286,3.214286,3.140000,3.214286,2.763973,796586000
2007-03-15,3.212857,3.227143,3.189643,3.198929,2.750768,559498800
2007-03-16,3.197857,3.213929,3.190000,3.199643,2.751382,571704000
2007-03-19,3.222857,3.269643,3.199643,3.254643,2.798677,712961200
2007-03-20,3.262500,3.280000,3.252143,3.267143,2.809425,488916400
2007-03-21,3.285357,3.357143,3.273214,3.352500,2.882824,686896000
2007-03-22,3.347500,3.370000,3.321429,3.355714,2.885588,561492400
2007-03-23,3.333929,3.359643,3.332143,3.340000,2.872076,450884000
2007-03-26,3.356786,3.425000,3.332143,3.423214,2.943632,864987200
2007-03-27,3.418214,3.458214,3.392857,3.409286,2.931655,932052800
2007-03-28,3.388571,3.407143,3.326786,3.330000,2.863477,942337200
2007-03-29,3.363929,3.363929,3.293929,3.348214,2.879139,725723600
2007-03-30,3.367143,3.381429,3.312500,3.318214,2.853341,600558000
2007-04-02,3.362143,3.366071,3.322143,3.344643,2.876068,501992400
