Date,Open,High,Low,Close,Adj Close,Volume
2006-07-21,36.042553,36.374470,35.804256,36.289364,19.626282,885950
2006-07-24,36.280849,36.553192,36.263828,36.297871,19.630886,980773
2006-07-25,36.331917,36.672340,36.221275,36.612766,19.801191,755055
2006-07-26,36.595745,36.791489,36.442554,36.774467,19.888632,1052213
2006-07-27,36.927662,37.131916,36.204254,36.255318,19.607866,1410353
2006-07-28,35.744682,36.255318,35.599998,35.872341,19.400740,2148723
2006-07-31,35.914894,36.280849,35.872341,36.017021,19.478991,1570035
2006-08-01,36.025532,36.161701,35.753193,36.153191,19.552635,1398015
2006-08-02,36.153191,36.382980,35.889362,36.008511,19.474390,1045045
2006-08-03,36.008511,36.136169,35.463829,35.514893,19.207428,616405
2006-08-04,35.770214,35.931915,35.455318,35.821278,19.373123,789130
2006-08-07,35.710636,35.846809,35.029785,35.114895,18.991093,536505
2006-08-08,35.174469,35.548935,35.148937,35.361702,19.124575,763515
2006-08-09,35.557446,35.668083,35.353191,35.378723,19.133776,652595
2006-08-10,35.412766,35.463829,35.097874,35.361702,19.124575,624983
2006-08-11,35.259575,35.276596,35.106384,35.123405,18.995697,311023
2006-08-14,35.404255,35.404255,35.038300,35.097874,18.981892,939295
2006-08-15,35.234043,35.234043,34.893616,35.038300,18.949663,1013085
2006-08-16,35.217022,35.217022,34.714893,34.774467,18.806982,710758
2006-08-17,34.731915,34.808510,34.417023,34.655319,18.742540,622163
2006-08-18,34.859573,35.080853,34.723404,34.936169,18.894434,514415
2006-08-21,34.961700,35.174469,34.893616,34.927662,18.889833,439685
2006-08-22,34.953190,35.029785,34.851063,34.936169,18.894434,471645
2006-08-23,34.978722,35.038300,34.476597,34.510639,18.664307,364250
2006-08-24,34.621277,34.842552,34.485107,34.825531,18.834604,448263
2006-08-25,34.842552,34.876595,34.638298,34.757446,18.797775,379760
2006-08-28,34.825531,35.370213,34.731915,35.336170,19.110764,668340
2006-08-29,35.353191,35.634045,35.174469,35.574467,19.239649,1029535
2006-08-30,35.659573,35.659573,35.191490,35.200001,19.037127,1247968
2006-08-31,35.234043,35.574467,35.217022,35.523403,19.212029,736608
2006-09-01,35.617020,35.702129,35.208511,35.234043,19.055534,821795
2006-09-05,35.208511,35.234043,34.731915,34.910637,18.880629,742130
2006-09-06,34.910637,34.910637,34.553192,34.680851,18.756350,709348
2006-09-07,34.765957,35.089363,34.587234,35.089363,18.977295,1983870
2006-09-08,35.080853,35.225533,35.012768,35.038300,18.949663,1386030
